"Question","Correct Answer","Wrong Answer 1","Wrong Answer 2","Wrong Answer 3","Wrong Answer 4","Wrong Answer 5"
"Complétez les paroles de la Marseillaise Allons enfants de la patrie... [GS]","Le jour de gloire est arrivé","Le moment de vaincre est arrivé","Les étendards sont levés","Contre nous de la tyrannie","Marchons vers la liberté","La victoire est à nous"
"Dans le cadre d'un entretien d'embauche, que peut-on demander au candidat ? [GS]","Ses diplômes et expériences professionnelles","Ses projets de maternité","Son appartenance religieuse","Ses origines ethniques","Son orientation politique","L'activité professionnelle de son conjoint"
"Déclarer ses revenus aux services fiscaux est :","Obligatoire ","Facultatif pour les bas salaires","Obligatoire seulement pour les propriétaires","Facultatif si on a des enfants","Une démarche réservée aux entreprises","Obligatoire seulement tous les 5 ans"
"En France, les impôts permettent de financer les dépenses publiques. Quelle proposition est correcte ?","Ils financent les services publics et la protection sociale ","Ils servent uniquement à payer la dette","Ils sont versés directement aux députés","Ils financent les entreprises privées","Ils servent uniquement à l'armée","Ils sont facultatifs pour les citoyens français"
"La liberté d'association est :","La liberté de créer une association ou de participer à celles de son choix ","L'obligation d'adhérer à un syndicat","Le droit de refuser de payer des cotisations","Un droit réservé aux personnes majeures","Interdite aux étrangers","Contrôlée par le préfet"
"La liberté d'expression sur les réseaux sociaux en France est :","Un droit limité par le respect d'autrui et la loi (pas d'injures, haine) ","Totale et sans aucune limite","Interdite pour les moins de 18 ans","Réservée aux journalistes","Surveillée systématiquement par la police","Autorisée uniquement pour les sujets politiques"
"Lequel de ces prénoms évoque un symbole de la République ?","Marianne ","Catherine","Isabelle","Juliette","Marie-Antoinette","Jeanne"
"Lequel de ces symboles représente la République française ?","Le drapeau tricolore ","La fleur de lys","Le lion","La couronne royale","L'aigle impérial","Le drapeau blanc"
"Où peut-on voir la devise de la République ? [GS]","Sur les frontons des mairies et écoles publiques","Sur les églises","Uniquement sur le site de l'Elysée","Sur les voitures de police","Sur les maillots de bain","Dans les supermarchés"
"Lesquels sont des symboles officiels de la République française ?","Le drapeau tricolore, La Marseillaise, Marianne ","Le coq, le vin, le pain","La Tour Eiffel, le Mont-Saint-Michel, le Louvre","Le béret, la baguette, le fromage","La fleur de lys, le sceptre, la couronne","L'Euro, le drapeau européen, l'Ode à la joie"
"Peut-on brûler publiquement un drapeau français ? [GS]","Non, c'est un délit puni par la loi (outrage)","Oui, au nom de la liberté d'expression totale","Oui, si c'est lors d'une manifestation","Oui, si le drapeau est vieux","Oui, le 14 juillet","Oui, si on est chez soi mais visible de la rue"
"Quand la sécurité sociale a-t-elle été établie en France ?","En 1945 ","En 1789","En 1905","En 1958","En 1968","En 2000"
"Que commémore la fête nationale ?","La prise de la Bastille et la fête de la Fédération (1789/1790) ","La fin de la Première Guerre mondiale","La mort du Roi Louis XVI","L'élection du premier Président","La Libération de Paris","La victoire de l'équipe de France de football"
"Que porte Marianne sur la tête ? [GS]","Un bonnet phrygien","Une couronne de lauriers","Un chapeau haut de forme","Un casque gaulois","Un voile","Une casquette"
"Quel symbole de la République peut-on voir sur les maillots de l'équipe de France de football ? [GS]","Le coq","Marianne","La Tour Eiffel","Le faisceau de licteur","L'hexagone","La fleur de lys"
"Quelle est la devise de la République française ?","Liberté, Égalité, Fraternité ","Travail, Famille, Patrie","Honneur et Patrie","Un pour tous, tous pour un","Union, Discipline, Travail","Dieu et mon Droit"
"Qu'est-ce que la liberté d'association ?","Chacun a la liberté de créer une association ou de participer à celles de son choix ","Le droit de ne pas payer d'impôts","Le droit de se réunir armé","Le droit de faire grève","Le droit de vote","Le droit de vivre n'importe où"
"Qu'est-ce qu'une liberté ?","Pouvoir faire tout ce qui ne nuit pas à autrui ","Pouvoir faire tout ce que l'on veut sans limite","Avoir le droit de désobéir aux lois","Pouvoir imposer ses choix aux autres","Ne pas avoir de devoirs","Être dispensé de travailler"
"Sur quel document peut-on voir Marianne ?","Les timbres-poste ","Le permis de conduire","La carte bancaire","Les billets de train","Le carnet de santé","Les tickets de métro"
